method,num_pages,num_predictions,num_ground_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy,complete_detection_rate,full_page_success_rate,mean_kendall_tau,mean_spearman_rho
rule_proposed,11,122,163,83,39,80,0.680327868852459,0.50920245398773,0.5824561403508771,0.8312627566076042,0.9066666666666668,0.0,0.0,0.8133333333333332,0.8122129426721255
yolov8n,11,111,163,102,9,61,0.918918918918919,0.6257668711656442,0.7445255474452556,0.7667907160251197,0.9201282051282051,0.0,0.0,0.8402564102564105,0.810230896828633
