method,precision,recall,f1,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high
Rule proposed,0.43601895734597157,0.6052631578947368,0.5068870523415978,0.2798165137614679,0.6111111111111112,0.48760330578512395,0.7096774193548387,0.35955056179775285,0.6470588235294118
YOLOv8n + rotation-aware order,0.956140350877193,0.7171052631578947,0.819548872180451,0.908256880733945,0.9906542056074766,0.5752212389380531,0.8301886792452831,0.7111111111111111,0.8947368421052632
Faster R-CNN,0.912,0.75,0.8231046931407944,0.8440366972477065,0.9615384615384616,0.643312101910828,0.8439716312056738,0.7392996108949418,0.8930817610062893
