val_f1,val_precision,val_recall,val_ro,thr,min_ar,min_h,max_w,min_w,test_num_predictions,test_true_positive,test_false_positive,test_false_negative,test_precision,test_recall,test_f1,test_mean_iou,test_reading_order_accuracy
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.08,0.005,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.08,0.01,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.08,0.015,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.08,0.02,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.1,0.005,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.1,0.01,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.1,0.015,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.1,0.02,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.12,0.005,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.12,0.01,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.12,0.015,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.12,0.02,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.16,0.005,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.16,0.01,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.16,0.015,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.04,0.16,0.02,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.06,0.08,0.005,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
0.8167539267015707,0.9397590361445783,0.7222222222222222,0.820887445887446,0.3,5,0.06,0.08,0.01,99,91,8,72,0.9191919191919192,0.558282208588957,0.6946564885496184,0.7612534483381858,0.9652680652680653
