method,ignore_filter,rotation_aware_order,num_pages,num_predictions,num_ground_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy
YOLOv8n,True,True,11,114,152,109,5,43,0.956140350877193,0.7171052631578947,0.819548872180451,0.7699012596379484,0.9
YOLOv8n,True,False,11,114,152,109,5,43,0.956140350877193,0.7171052631578947,0.819548872180451,0.7699012596379484,1.0
YOLOv8n,False,True,11,114,152,109,5,43,0.956140350877193,0.7171052631578947,0.819548872180451,0.7699012596379484,0.9
YOLOv8n,False,False,11,114,152,109,5,43,0.956140350877193,0.7171052631578947,0.819548872180451,0.7699012596379484,1.0
