method,iou_threshold,num_pages,num_predictions,num_ground_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy
Rule proposed,0.5,11,211,152,92,119,60,0.43601895734597157,0.6052631578947368,0.5068870523415978,0.8259384787343522,0.9
YOLOv8n + rotation-aware order,0.5,11,114,152,109,5,43,0.956140350877193,0.7171052631578947,0.819548872180451,0.7699012596379484,0.9
Faster R-CNN,0.5,11,125,152,114,11,38,0.912,0.75,0.8231046931407944,0.7376636287480502,0.8181818181818182
Rule proposed,0.75,11,211,152,68,143,84,0.3222748815165877,0.4473684210526316,0.37465564738292007,0.9012209070032264,1.0
YOLOv8n + rotation-aware order,0.75,11,114,152,66,48,86,0.5789473684210527,0.4342105263157895,0.49624060150375954,0.8262789933387086,1.0
Faster R-CNN,0.75,11,125,152,44,81,108,0.352,0.2894736842105263,0.3176895306859206,0.8281683298542751,1.0
